"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Công ty Cổ phần vận tải Bình Dương",2,0,0,0,"18876476"
"Công ty Cổ phần xe khách Đắk Lắk",2,0,0,0,"7715409"
"Công ty Cổ phần Ô tô Khách Hà Tây",1,0,0,0,"18182911"
"Công ty Cổ phần Ô tô VTHK Hải Hưng",2,0,0,0,"18182899"
"Công ty Cổ phần Ô tô khách Hà Tây",1,0,0,0,"18182912"
"Công ty Cổ phần Đầu tư phát triển Vận tải Vĩnh Phú",4,0,0,0,"15030178"
"Công ty Cổ phần đầu tư AVIGO;Công ty TNHH Toàn Thắng",2,0,0,0,"17464016"
"Công ty Cổ phẩn xe khách Hà Nội",2,0,0,0,"12993848"
"Công ty Hải Vân",2,0,0,0,"17055199"
"Công ty TNHH Bắc Hà",2,0,0,0,"18180888"
"Công ty TNHH DVVT sinh thái VinBus",7,0,0,0,"17926910"
"Công ty TNHH Dịch vụ Du lịch Hoàng Hà",2,0,0,0,"14758733"
"Công ty TNHH Dịch vụ Vận tải sinh thái Vinbus",24,0,0,0,"17405784"
"Công ty TNHH MTV Vận tải ô tô Vĩnh Phúc",2,0,0,0,"19517969"
"Công ty TNHH Ngọc Hùng - Văn Nhân",1,0,0,0,"18195613"
"Công ty TNHH Phúc Gia Khang",2,0,0,0,"20042789"
"Công ty TNHH Phương Trinh",3,0,0,0,"18876464"
"Công ty TNHH Thương mại Dịch vụ Công cộng Đô thị mới Phố Cảnh",4,0,0,0,"13757955"
"Công ty TNHH Trí Minh Phát",2,0,0,0,"14753102"
"Công ty TNHH Vận tải & Dịch vụ Hải Vân",2,0,0,0,"17580614"
"Công ty TNHH Vận tải Mến Hiếu",2,0,0,0,"18182905"
"Công ty TNHH Vận tải Sinh thái Vinbus",7,0,0,0,"17540727"
"Công ty TNHH Vận tải Thịnh Hưng",12,0,0,0,"19352137"
"Công ty TNHH Vận tải thương mại Thảo Mạnh",8,0,0,0,"18529573"
"Công ty TNHH Xe Buýt Becamex Tokyu",25,0,0,0,"18282597"
"Công ty cổ phần vận tải 26",2,0,0,0,"17384720"
"Công ty cổ phần xe điện",10,0,0,0,"12925243"
"Công ty cổ phần xe điện Hà Nội",3,0,0,0,"12846290"
"Công ty cổ phần ô tô khách Hà Tây",4,0,0,0,"18179662"
"Công ty cổ phần ô tô vận tải Hà Tây",2,0,0,0,"13015478"
"Công ty cổ phần Đầu tư và Xây dựng HPT Vĩnh Phúc",2,0,0,0,"18951396"
"Công ty cổ phần đường bộ Hải Phòng",8,0,0,0,"20080546"
"DAMRI",10,0,0,0,"14298213"
"DAN",1,0,0,0,"2994312"
"DBKL",5,0,0,0,"14757592"
"DNS",1,0,0,0,"10387313"
"DNS Transport",3,0,0,0,"10645334"
"DOT",1,0,0,0,"5730835"
"DSN Business Partners Transport Inc.",1,0,0,0,"18022945"
"DTC",4,0,0,0,"20384980"
"Daewoo Express",1,0,0,0,"19984670"
"Damri",16,0,0,0,"19297687"
"Dan",4,0,0,0,"1661290"
"Dapa Transport Service Cooperative",2,0,0,0,"12565653"
"Dasmariñas Van Drivers Operators Transport Service Cooperative",4,0,0,0,"10697936"
"Davao Metro Shuttle",3,0,0,0,"15045923"
"Dawn Alexandros Liner;La Guardia;Legacy Bus Line;Saulog Transit, Inc.;St. Gabriel Transport;St. Anthony of Padua Transport",2,0,0,0,"3315878"
"Del Monte City Trans",2,0,0,0,"15093994"
"Del Monte Land Transport Bus Company, Inc.",47,0,0,0,"10086921"
"Del Monte Motor Works",10,0,0,0,"10672833"
"Dela Rosa Express",2,0,0,0,"15091402"
"Dela Rosa Transit",6,0,0,0,"13613318"
"Delhi Transit",4,0,0,0,"8035118"
"Delhi Transport Corporation",171,0,0,0,"10103570"
"Delhi Transport Corporation, Delhi Transit",1,0,0,0,"11232098"
"Delima Vision",2,0,0,0,"17329375"
"Delta Neosolutions, Inc.",6,0,0,0,"10153679"
"Department of Transport",1,0,0,0,"1898416"
"Department of Transportation",4,0,0,0,"11049092"
"Dinas Perhubungan",2,0,0,0,"14238749"
"Dinas Perhubungan Kota Bandung",6,0,0,0,"15520324"
"Dinas Perhubungan Kota Kediri",1,0,0,0,"18964267"
"Dinas Perhubungan Kota Surabaya",10,0,0,0,"13130304"
"Dishub Kota Kediri",1,0,0,0,"16822680"
"Don Aldrin Transport Inc.",5,0,0,0,"10296617"
"Dwarka Bus",1,0,0,0,"19688406"
"E.L. Liner",2,0,0,0,"8202657"
"E.P. Bautista",1,0,0,0,"15905082"
"ES Transport Inc.",2,0,0,0,"15019282"
"ES Transport and Partners Corporation",2,0,0,0,"15019284"
"ES Transport; Malanday Metro Link",1,0,0,0,"11063190"
"ES Transport;Malanday Metro Link",1,0,0,0,"11063187"
"EVT",4,0,0,0,"19801319"
"EXA Logistic",2,0,0,0,"15089469"
"Earth Star Transport",2,0,0,0,"15074339"
"Eastwood City Estate Association",1,0,0,0,"18040027"
"EcoDyip, Inc.",4,0,0,0,"9279638"
"Egged",19,0,0,0,"1383213"
"Elang Wah",1,0,0,0,"11117854"
"Erjohn & Almark Transit Corporation;San Agustin Transport Service Corporation",1,0,0,0,"8901205"
"Erjohn & Almark Transit Corporation;South Point Carrier Bus Company, Inc.",3,0,0,0,"10040392"
"FEJODAP Transport Service Corporation",2,0,0,0,"11291809"
"FUTA Bus Lines",1,0,0,0,"19776378"
"Fairview Bus",4,0,0,0,"15074340"
"Federation of Jeepney Operators' and Drivers' Associations of the Philippines",1,0,0,0,"15021427"
"Felixberta Bobis;Carmen A. Bragais;Roberto Diaz;Philtranco Service Enterprises, Inc.;RMB Bicol Express Transport Service, Inc.",1,0,0,0,"10650222"
"Ferdowsi University of Mashhad",1,0,0,0,"10137193"
"Filinvest City Alabang",1,0,0,0,"11288602"
"First Isabela Bus and Van Transport Cooperative",2,0,0,0,"8202653"
"First North Luzon Transit, Inc.;Philippine Rabbit Bus Lines, Inc.;RJ Express, Inc.;Victory Liner, Inc.",2,0,0,0,"8202544"
"First Novo Vizcayano Travellers Transport Cooperative",6,0,0,0,"10660710"
"First San Jose Transport Service Cooperative",4,0,0,0,"10814166"
"Five Star Bus Company",4,0,0,0,"11973604"
"Florencia Transport Services Inc.",2,0,0,0,"11495322"
"Florencia Transport Services Inc.;JC Liner Corporation",2,0,0,0,"11495326"
"Fort Bonifacio - Pateros Transport Service and Multi-purpose Cooperative",2,0,0,0,"11483660"
"Fort Bonifacio-Pateros Transport Service and Multi-purpose Cooperative",2,0,0,0,"11125575"
"Futa Bus Lines",2,0,0,0,"15740498"
"GAM",4,0,0,0,"11202189"
"GL Trans",1,0,0,0,"3429625"
"GSA Bus",2,0,0,0,"8202446"
"GV Florida Transit",2,0,0,0,"17892714"
"Gabtoli Express",1,0,0,0,"18732475"
"Gardenia Kapit-Bisig Multi-Purpose and Transport Service Cooperative",3,0,0,0,"10356686"
"Gardenia Kapit-Bisig Multi-Purpose and Transport Service Cooperative;Magnificat Transport Cooperative",2,0,0,0,"10316639"
"General Mariano Alvarez Transport Service and Multi-Purpose Cooperative",2,0,0,0,"2455721"
"Genesis Bus Transport Service, Inc.",1,0,0,0,"9430778"
"Genesis Transport Service, Inc.",4,0,0,0,"11973607"
"Georgian Bus",6,0,0,0,"14243619"
"German Espiritu Liner",2,0,0,0,"13403803"
"Global Electric Transport",2,0,0,0,"19755680"
"Go-Ahead Singapore",76,0,0,0,"1147136"
"Gold Star Bus Transit, Inc.",2,0,0,0,"11826695"
"Gold Star Transit, Inc.",1,0,0,0,"10676453"
"Gopi Travel & Tours",6,0,0,0,"15700517"
"Gopi Travel Tours",10,0,0,0,"19982208"
"Gori Municipality",27,0,0,0,"12290585"
"Grand City Buses",2,0,0,0,"9446053"
"Great Power Movers Transportation Corporation",6,0,0,0,"10775523"
"Greater Amman Municipality",2,0,0,0,"13735677"
"Green Frog ZE Transport Corporation",2,0,0,0,"11192402"
"Guadalupe-Pedro Gil Transport Service Cooperative",4,0,0,0,"11125576"
"Gurukrupa",2,0,0,0,"13177152"
"H-TODA",8,0,0,0,"19008077"
"HM Transport",6,0,0,0,"10183827"
"HM Transport Inc.",5,0,0,0,"11062409"
"HM Transport Inc.; CEM Trans",1,0,0,0,"11115721"
"HM Transport, Inc.",2,0,0,0,"8216813"
"HTX Vận tải & KDTH Tam Kỳ;HTX Vận tải CGĐB huyện Núi Thành",1,0,0,0,"20656456"
"HTX Vận tải & KDTH Tam Kỳ;HTX Vận tải CGĐB huyện Núi Thành.",1,0,0,0,"20656457"
"HTX Vận tải Sông Đà",2,0,0,0,"19778031"
"HTX Vận tải và KDTH Tam Kỳ",2,0,0,0,"20655711"
"Happy",1,0,0,0,"1629468"
"Hustisya Transport Service Cooperative",1,0,0,0,"14994373"
"Hợp tác xã Du lịch Vận tải Đồng Tiến;Hợp tác xã vận tải xe buýt và du lịch Quyết Tiến",2,0,0,0,"17462362"
"Hợp tác xã Dịch vụ Vận tải Long Khánh",2,0,0,0,"17549695"
