"operator","relations","gtfs_shape_id_n","gtfs_route_id_n","gtfs_feed_id_n","relation_id_example"
"Colectiveros Unidos S.A.I.F.",4,0,0,0,"3008238"
"Coletivos Rainha",56,0,0,0,"12698217"
"Coletivos São Geraldo",6,0,0,0,"20041507"
"Coleurbanus",5,0,0,0,"10606280"
"Colón UTE",2,0,0,0,"14316522"
"Cometa",3,0,0,0,"10973044"
"Compania de Transporte Necochea S.A.",4,0,0,0,"18383371"
"Compañia Microomnibus La Colorada S.A.C.I.",8,0,0,0,"19690062"
"Compañía Andrade S.R.L.",8,0,0,0,"13818038"
"Compañía La Isleña Metropolitana S.R.L.",33,0,0,0,"17327655"
"Compañía Noroeste S.A.T.",10,0,0,0,"11533078"
"Compañía de Transporte Vecinal Metropolitana",6,0,0,0,"14387390"
"Complementar de Jaboatão dos Guararapes",2,0,0,0,"10992382"
"Conceição",2,0,0,0,"2710143"
"Conceição, Santa Maria",1,0,0,0,"255864"
"Concesión ANI",1,0,0,0,"5536632"
"Concorde",2,0,0,0,"13253160"
"Conecta 17 S.A.",4,0,0,0,"18270258"
"Conecta 18 S.A.",2,0,0,0,"19968385"
"Coniferal",2,0,0,0,"1421729"
"Conorte",10,0,0,0,"10294434"
"Consor",2,0,0,0,"19910100"
"Consorcio Arapoti",2,0,0,0,"20242585"
"Consorcio Transporte Arequipa S.A.",2,0,0,0,"13572648"
"Consorcio de Transportistas Urbanos Ciudad De Loja",18,0,0,0,"16758536"
"Consórcio Anhanguera",1,0,0,0,"8719579"
"Consórcio Autho Pam",12,0,0,0,"3350959"
"Consórcio BHLeste",12,0,0,0,"2264185"
"Consórcio Dez",2,0,0,0,"10068968"
"Consórcio Dom Pedro II",1,0,0,0,"2096372"
"Consórcio Fenix",71,0,0,0,"20222448"
"Consórcio Fênix",40,0,0,0,"20502001"
"Consórcio Guaicurus",3,0,0,0,"3122204"
"Consórcio Internorte de Transportes",2,0,0,0,"11065933"
"Consórcio Metropolitano",1,0,0,0,"13123518"
"Consórcio Norte",2,0,0,0,"3380476"
"Consórcio Pampulha",7,0,0,0,"2638881"
"Consórcio Poty",1,0,0,0,"17637336"
"Consórcio Recife",2,0,0,0,"10628851"
"Consórcio Sete",6,0,0,0,"3429768"
"Consórcio Sudoeste",4,0,0,0,"2050115"
"Consórcio Sul",2,0,0,0,"3380414"
"Consórcio Unisul",3,0,0,0,"3387436"
"Consórcio União Santo André",8,0,0,0,"10309190"
"Cooasoatlan",1,0,0,0,"6014571"
"Coointracar",1,0,0,0,"19228044"
"Coomicro",10,0,0,0,"5626246"
"Coop. Calderon",1,0,0,0,"1959495"
"Coop. Jolumbo",4,0,0,0,"1946361"
"Coop. La Calera",2,0,0,0,"18921633"
"Coop.Jolumbo",1,0,0,0,"1945487"
"Coopatranscom",1,0,0,0,"12671685"
"Coopcasur, Cootransoacha",1,0,0,0,"16453233"
"CooperVia",4,0,0,0,"10959012"
"Cooperativa La Unión",1,0,0,0,"3425806"
"Cooperativa Sporman",1,0,0,0,"3670036"
"Cooperativa Sportman",7,0,0,0,"3425842"
"Cooperativa Sportman - Don Otto",1,0,0,0,"3425640"
"Cooperativa Sportman - La Unión",2,0,0,0,"3425904"
"Cooperativa Sportman - La Unión - Don Otto",1,0,0,0,"3428031"
"Cooperativa Transportes Tosagua",1,0,0,0,"2075862"
"Cooperativa de Electricidad, Servicios y Obras Publicas, San Bernardo Limitada",2,0,0,0,"3081693"
"Cooperativa de Trabajo El Petróleo Ltda.",10,0,0,0,"15611184"
"Cooperativa de Trabajo Nuevo Expreso de Chajarí Ltda.",2,0,0,0,"7779943"
"Cooperativa de Transporte 28 de Septiembre",1,0,0,0,"16768600"
"Cooperativa de Transporte Cristóbal Colón",2,0,0,0,"19585687"
"Cooperativa de Transporte San Miguel de Ibarra",25,0,0,0,"12325851"
"Cooperativa de Transporte de Pasajeros Mira",4,0,0,0,"19618511"
"Cooperativa de Transportes Oruro",142,0,0,0,"15423122"
"Cooperativa de Transportes de Belén de Umbría Ltda. (Cootransbel)",1,0,0,0,"9584113"
"Cooperativa de transporte de pasajeros Valle del Chota",1,0,0,0,"20222713"
"Cooperativa de transportes Chambo",1,0,0,0,"2096774"
"Cooperativa de transportes Frontera Norte",3,0,0,0,"19620621"
"Cooperativa de transportes Oriental",1,0,0,0,"19653985"
"Coopertalse",1,0,0,0,"10823507"
"Cootra",2,0,0,0,"3670020"
"Cootrachica",10,0,0,0,"13707036"
"Cootradelsol",7,0,0,0,"14510937"
"Cootraheroes",14,0,0,0,"6577937"
"Cootransbar",1,0,0,0,"3343786"
"Cootranspetecuy",3,0,0,0,"9314645"
"Cootranstol",6,0,0,0,"5385727"
"Cootrsnatol",1,0,0,0,"5415241"
"Copertalse",1,0,0,0,"3697687"
"Corazon de Jesus",1,0,0,0,"17521283"
"Cordial",2,0,0,0,"7924358"
"Corpico",4,0,0,0,"20347488"
"Costa Verde",2,0,0,0,"11979429"
"Cotranal",1,0,0,0,"5641696"
"Cotransricaurte",3,0,0,0,"17669943"
"Coutinho",2,0,0,0,"7303824"
"Cristália",1,0,0,0,"402470"
"DISUTRAN",12,0,0,0,"6427896"
"DOTA",4,0,0,0,"7412466"
"Das Graças, Transnacional",2,0,0,0,"14335705"
"De la Conquista S.A.",1,0,0,0,"19745966"
"Decatur",1,0,0,0,"1847960"
"Doradas Bus",4,0,0,0,"3011448"
"Doscientos Ocho Transporte Automotor",18,0,0,0,"3899801"
"Doscientos Ocho Transporte Automotor S.A.",2,0,0,0,"54235"
"Dota Ute Vecinal Ideal S.A.",14,0,0,0,"9136443"
"E SOMOS",14,0,0,0,"15613753"
"E Somos",1,0,0,0,"15616580"
"E-MASIVO 10",1,0,0,0,"15985063"
"E-SOMOS",4,0,0,0,"15880998"
"E.T. Aguas Calientes Calca Cachin S.C.R.L.",1,0,0,0,"16235304"
"E.T. Corazon Huanca",2,0,0,0,"16218340"
"E.T. Expreso Rápido SRL",2,0,0,0,"16218853"
"E.T. Inka Ollantay",1,0,0,0,"16227510"
"E.T. Picaflor Andino",2,0,0,0,"16218102"
"E.T. Yanacocha Express",1,0,0,0,"16228420"
"E.T.T. Ankasmarca Calca S.R.L.",1,0,0,0,"16235287"
"ECOVIA",16,0,0,0,"6425178"
"EL AGUILA S.A.",4,0,0,0,"19972081"
"EL CORTIJO S.A.",7,0,0,0,"19961962"
"EL ICARO INVERSIONISTAS S.A.",8,0,0,0,"19965775"
"EL INTER S.R.L.",1,0,0,0,"3984378"
"EMASIVO 10",8,0,0,0,"15937679"
"EMASIVO 16",7,0,0,0,"15903819"
"EMDEC",1,0,0,0,"20437908"
"EMTU",1,0,0,0,"13732628"
"EOASA",1,0,0,0,"8723503"
"EPMT-SD",2,0,0,0,"17094522"
"EPT",3,0,0,0,"13699399"
"EQU S.A",2,0,0,0,"13437409"
"ERSA",17,0,0,0,"10082139"
"ERSA Interurbano",11,0,0,0,"6606030"
"ESPERANZA EXPRESS S.A.",6,0,0,0,"19965743"
"ESTE ES MI BUS",25,0,0,0,"15641793"
"ESTE ES MI BUS CO",11,0,0,0,"15613833"
"ETCD",1,0,0,0,"2185166"
"ETCMViamão",1,0,0,0,"4269342"
"ETCSBC",3,0,0,0,"10323706"
"ETIB",85,0,0,0,"15616702"
"ETIB BO",7,0,0,0,"15667970"
"ETSA/SAN CARLOS",1,0,0,0,"10925123"
"EXPRESANTISANA",2,0,0,0,"6302544"
"EasyGroup",1,0,0,0,"19767118"
"Ecovia",1,0,0,0,"2523194"
"Egobus",2,0,0,0,"2696349"
"El Aguila",1,0,0,0,"17521009"
"El Cacique S.A.",8,0,0,0,"3508598"
"El Corcel UTE",2,0,0,0,"14142084"
"El Cortijo",3,0,0,0,"17554576"
"El Galgo SRL",2,0,0,0,"14093803"
"El Icaro",2,0,0,0,"17581560"
"El Libertador",20,0,0,0,"12239334"
"El Puente S.A.T.",6,0,0,0,"14044098"
"El Trapiche SRL",1,0,0,0,"3429209"
"El Triunfo",61,0,0,0,"12237391"
"El Urbano",10,0,0,0,"10205745"
"El Urbano S.R.L.",6,0,0,0,"20325672"
"Emp. Transp. Wichanzao S.A.",2,0,0,0,"17670001"
"Empresa 5 de Agosto S.R.L.",2,0,0,0,"20325667"
"Empresa Antártida Argentina S.A.T.",4,0,0,0,"16408104"
"Empresa Bernardino Rivadavia S.A.T.A.",4,0,0,0,"3012077"
"Empresa Ceferino",5,0,0,0,"5933675"
"Empresa Ceferino del Sur S.A. - Grupo Ceferino",10,0,0,0,"12312002"
"Empresa Ciudad de San Fernando S.A.",20,0,0,0,"13720843"
"Empresa Cruz",7,0,0,0,"11842073"
"Empresa Garay S.R.L.",14,0,0,0,"20308733"
"Empresa Jesus Maria",1,0,0,0,"3424778"
"Empresa Lemos & Rodríguez S.A.",2,0,0,0,"1135801"
"Empresa Libertador San Martín S.A.T.",8,0,0,0,"17905804"
"Empresa Línea 216 S.A.T.",88,0,0,0,"11605928"
"Empresa Línea 7 S.A.",19,0,0,0,"3764749"
"Empresa Martínez S.R.L",3,0,0,0,"20604597"
"Empresa Mayo",33,0,0,0,"12238519"
"Empresa Mayo S.A.T.A.",8,0,0,0,"1153953"
"Empresa Metropolitana",11,0,0,0,"10710600"
"Empresa Metropolitana de Transportes Urbanos de São Paulo",5,0,0,0,"11221949"
"Empresa Monte Grande S.A.",4,0,0,0,"13116156"
"Empresa Monterrey S.R.L.",2,0,0,0,"20083497"
"Empresa Pedrosa",1,0,0,0,"10944628"
"Empresa Provincial de Transporte de Mendoza",3,0,0,0,"3423994"
"Empresa Publica Metropolitana de Pasajeros de Quito",108,0,0,0,"12110323"
"Empresa Pública Municipal de Movilidad de Machala",38,0,0,0,"16761805"
"Empresa Quinientos Uno S.A",7,0,0,0,"2167225"
"Empresa Recreo S.R.L.",2,0,0,0,"12458452"
"Empresa Romero S.A.",3,0,0,0,"14049869"
"Empresa Romero Sociedad Anónima (Grupo ERSA)",6,0,0,0,"6889592"
"Empresa San Roque",1,0,0,0,"8527320"
"Empresa San Vicente S.A.T.",23,0,0,0,"17639737"
"Empresa San Vicente SAT",2,0,0,0,"8302500"
"Empresa Tandilense S.A.",4,0,0,0,"13945386"
"Empresa Transporte Automotor Plaza S.A.C. e I.",25,0,0,0,"1149648"
"Empresa Transporte Automotor de Pasajeros S.A.C.I.F.",4,0,0,0,"373769"
"Empresa Transportes Nueva Chicago C.I.S.A.",6,0,0,0,"3070924"
"Empresa Transportes del Sur S.R.L.",2,0,0,0,"13437407"
"Empresa Vercelli Hnos. S.A.",4,0,0,0,"18579774"
"Empresa Villa Serrana S.R.L. - La Caacupeña S.A.",1,0,0,0,"9660525"
"Empresa de Servicios de Transporte Unión Nacional S.A.C.",1,0,0,0,"20576391"
"Empresa de Transporte Pedro de Mendoza C.I.S.A",5,0,0,0,"14176475"
"Empresa de Transporte Teniente General Roca S.A.",18,0,0,0,"14305770"
